Feature;Global_Importance;Hot Start_Importance;True Cold Start_Importance;Warm Start_Importance;Δ_Hot Start_Importance;Δ%_Hot Start_Importance;Δ_True Cold Start_Importance;Δ%_True Cold Start_Importance;Δ_Warm Start_Importance;Δ%_Warm Start_Importance;Max_Relative_Change_%
Speechiness;0.002838153495757112;0.005546128194740874;0.09922110980437893;-0.15698950180623683;0.0027079746989837616;95.41322373507285;0.09638295630862181;3395.972856752835;-0.15982765530199394;-5631.39376453705;5631.39376453705
Acousticness;-0.013938349781545512;0.03746927669545741;-0.12967196595681685;-0.25843004618091925;0.05140762647700292;-368.82149587953376;-0.11573361617527134;830.325155362044;-0.24449169639937374;1754.0936895127975;1754.0936895127975
Danceability;0.031901235342486345;0.058956017187913545;0.1256483504439565;-0.2533748806939471;0.0270547818454272;84.80794146963956;0.09374711510147016;293.8667144276692;-0.28527611603643344;-894.2478372115636;894.2478372115636
Loudness_Corrected;-0.017260738781784468;0.01599572059650889;-0.15529790603187976;-0.15032230576387917;0.03325645937829336;-192.67113491168047;-0.1380371672500953;799.7176539914077;-0.1330615669820947;770.8915381503373;799.7176539914077
Degree_Centrality_mean;0.02176621574837867;0.08648836930328763;-0.10915703390734066;-0.11956959243666176;0.06472215355490896;297.35141528318195;-0.13092324965571933;-601.497500319947;-0.14133580818504043;-649.3356646169037;649.3356646169037
Energy;0.025577345374854232;0.03673961232650136;-0.11814274174717809;-0.09647826787758618;0.011162266951647126;43.641223714360954;-0.14372008712203233;-561.9038230773125;-0.12205561325244041;-477.20201878501564;561.9038230773125
Degree_Disparity;0.013372988390170093;0.01599463616447494;0.0005692356564601653;-0.050529971201196844;0.002621647774304847;19.60405185269875;-0.012803752733709928;-95.74338511867371;-0.06390295959136694;-477.8509705417043;477.8509705417043
Valence;0.09049091509972307;0.10546581317227499;-0.16722721089951165;-0.022552905396526768;0.014974898072551923;16.54850974881196;-0.2577181259992347;-284.79999662642757;-0.11304382049624984;-124.92283796936363;284.79999662642757
Artist_Hotness;0.04682346386501557;0.06416605351825311;-0.08183303729287061;0.007242502362025505;0.01734258965323754;37.038245040672244;-0.12865650115788618;-274.76928828052763;-0.039580961502990064;-84.53232074366034;274.76928828052763
Degree_Centrality_max;0.056181884822866124;0.06407808818749139;-0.08076763070556581;-0.04264019655789042;0.007896203364625265;14.054713986499001;-0.13694951552843193;-243.76098011415138;-0.09882208138075654;-175.8966968327286;243.76098011415138
Nationality_Count;0.03895777681014856;0.08930158807054944;-0.03241606715261369;-0.044906804995299865;0.050343811260400884;129.2265988726037;-0.07137384396276225;-183.20820122386257;-0.08386458180544842;-215.27044538870382;215.27044538870382
Cross_Community_Count;0.08952063926797749;0.08687067322165021;0.08700691501553237;-0.09110923201335908;-0.002649966046327279;-2.9601732498725224;-0.0025137242524451153;-2.807982879613409;-0.18062987128133656;-201.77455248379167;201.77455248379167
Eigenvector_Centrality_max;0.1579703722782586;0.1976607374255508;-0.07541121623386715;-0.15902017255805845;0.039690365147292184;25.125195518389493;-0.23338158851212576;-147.737568550929;-0.31699054483631706;-200.66455390211092;200.66455390211092
Eigenvector_Centrality_mean;0.0951039280917989;0.11367893384524663;0.07057629558986633;-0.09182162411252293;0.018575005753447726;19.53127061187791;-0.024527632501932572;-25.790346136233044;-0.18692555220432183;-196.54871674533263;196.54871674533263
Community_Size;0.05713115961062876;0.07719788365581337;0.13574780715794077;-0.03432426025488411;0.020066724045184614;35.12395657764981;0.07861664754731201;137.60729995162407;-0.09145541986551287;-160.0797513791421;160.0797513791421
Artist_Count;0.06366085819679768;0.03478657975035837;0.16060051537804299;0.06271379150899747;-0.028874278446439305;-45.35640707766596;0.09693965718124531;152.27513169681137;-0.0009470666878002021;-1.4876750011690736;152.27513169681137
Points_change;1.1802523935500258;1.0371055705237318;2.0837095530269245;1.5531754045316468;-0.143146823026294;-12.128492489173816;0.9034571594768988;76.54779296773586;0.37292301098162106;31.59688662388174;76.54779296773586
Weeks_on_chart;0.5542865790986653;0.3934744013026137;0.19503928056032294;0.192278206729803;-0.16081217779605161;-29.012460984970335;-0.35924729853834236;-64.81255571339918;-0.3620083723688623;-65.31068681194182;65.31068681194182
Rank_change;0.4437172275096195;0.43460631741906575;0.6147902117242694;0.7031250784558409;-0.009110910090553759;-2.0533144771403076;0.1710729842146499;38.55450571285201;0.25940785094622143;58.46242477839637;58.46242477839637
Points_rolling_mean_4w;3.2440508060701454;3.4365639200056854;1.3807995718000292;2.193498368890893;0.19251311393554005;5.934343368358268;-1.8632512342701162;-57.435944905958664;-1.0505524371792525;-32.38396990853715;57.435944905958664
Points_last_week;8.153322404051146;7.150087882624252;10.582373606765106;12.43570396848963;-1.0032345214268936;-12.304609968635239;2.4290512027139606;29.792164249620683;4.282381564438484;52.52314764083735;52.52314764083735
Points (Total);6.767833018191954;6.376358016632086;7.704684933756614;9.234716543222913;-0.3914750015598685;-5.784347817827938;0.9368519155646595;13.84271616790739;2.4668835250309584;36.450123961916134;36.450123961916134
Rank_last_week;9.341458444241368;8.849970576494751;9.622601193646656;12.232540785285632;-0.491487867746617;-5.261361174249893;0.28114274940528716;3.009623722605158;2.891082341044264;30.94893969706636;30.94893969706636
Rank_rolling_mean_4w;3.694000201818767;3.820764475133714;2.5912546123019915;3.171234536160064;0.12676427331494722;3.4316260518398907;-1.1027455895167755;-29.852342419345497;-0.522765665658703;-14.151749782249555;29.852342419345497
Rank;8.785122128912686;8.34220752609551;9.7725265982052;11.020165937092887;-0.44291460281717576;-5.041644228360634;0.9874044692925139;11.239507598084211;2.235043808180201;25.44123775547802;25.44123775547802
Instrumentalness;0.034194996183504855;0.02817904819860395;0.040505481477236316;0.03626377104187384;-0.0060159479849009045;-17.593064718259157;0.00631048529373146;18.45441091826012;0.0020687748583689824;6.049934285027308;18.45441091826012
Continent_Diversity;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
